class,index,output,seed,prompt,frames,steps,guidance,size,lora_path,lora_scale
Clapping,0,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos/Clapping/clapping_00.mp4,1635105074,"a tourist claps hands a few times while standing in a train station concourse, at noon. low-angle shot, natural lighting. High quality, realistic motion, 24 fps, (take 1)",61,32,6.0,832x480,,
Clapping,1,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos/Clapping/clapping_01.mp4,266528389,"a college student claps hands a few times while standing in a train station concourse, at noon. steady mid-shot, soft shadows. High quality, realistic motion, 24 fps, (take 2)",61,32,6.0,832x480,,
Clapping,2,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos/Clapping/clapping_02.mp4,2094085902,"a commuter claps hands a few times while standing in a quiet park path, at noon. steady mid-shot, soft shadows. High quality, realistic motion, 24 fps, (take 3)",61,32,6.0,832x480,,
Clapping,3,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos/Clapping/clapping_03.mp4,1469209901,"a commuter claps hands a few times while standing inside a modern lobby, at noon. static wide shot, realistic textures. High quality, realistic motion, 24 fps, (take 4)",61,32,6.0,832x480,,
Clapping,4,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos/Clapping/clapping_04.mp4,1806555091,"a middle-aged person claps hands a few times while standing in a train station concourse, in the evening. front-facing tracking shot, realistic textures. High quality, realistic motion, 24 fps, (take 5)",61,32,6.0,832x480,,
Clapping,5,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos/Clapping/clapping_05.mp4,841049880,"a commuter claps hands a few times while standing beside a row of trees, in the afternoon. handheld eye-level shot, subtle background motion. High quality, realistic motion, 24 fps, (take 6)",61,32,6.0,832x480,,
Clapping,6,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos/Clapping/clapping_06.mp4,1079957843,"a jogger claps hands a few times while standing on a pedestrian plaza, in the morning. low-angle shot, slight depth of field. High quality, realistic motion, 24 fps, (take 7)",61,32,6.0,832x480,,
Clapping,7,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos/Clapping/clapping_07.mp4,1799193080,"an office worker claps hands a few times while standing inside a modern lobby, in the evening. steady mid-shot, realistic textures. High quality, realistic motion, 24 fps, (take 8)",61,32,6.0,832x480,,
Clapping,8,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos/Clapping/clapping_08.mp4,322526552,"a young adult claps hands a few times while standing on a pedestrian plaza, at noon. static wide shot, soft shadows. High quality, realistic motion, 24 fps, (take 9)",61,32,6.0,832x480,,
Clapping,9,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos/Clapping/clapping_09.mp4,1580561325,"a middle-aged person claps hands a few times while standing inside a modern lobby, at noon. static wide shot, slight depth of field. High quality, realistic motion, 24 fps, (take 10)",61,32,6.0,832x480,,
